gram,counts
covid 19,147893
new cases,3037
vaccine trial,2989
white house,2778
tested positive,2116
public health,1762
united states,1544
mental health,1415
second wave,1301
spread intentionally,1268
two short,1266
short reports,1266
read reports,1249
intentionally chinese,1242
shows evidences,1188
evidences two,1188
death rate,1027
active cases,1004
24 hours,1001
health care,993
health officials,970
death toll,934
party yanreports,868
yanreports read,868
boris johnson,861
death rates,800
new deaths,790
first time,732
confirmed cases,701
around world,683
recovery rate,670
stay home,658
wash hands,658
nursing homes,654
health minister,627
health authority,618
study shows,603
one prophesied,599
